time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	4.94066e-324	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.734108	0.628248	7.23347	-2.57944e-17	-1.60857e-17	radar	73.9473	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16053	0.494861	7.23669	-0.126964	-0.0118326	lidar	0.21963	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25747	0.533288	7.22074	0.121142	0.0302572	radar	1.82684	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61635	0.59526	7.23513	0.160561	0.0461959	lidar	0.164887	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85132	0.563116	5.9628	0.0300936	-0.213404	radar	7.12951	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16137	0.593147	5.96349	0.0445327	-0.160397	lidar	0.245917	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37674	0.640563	5.51276	0.0691038	-0.248315	radar	5.36252	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65081	0.659603	5.51311	0.0593437	-0.238434	lidar	0.00364298	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91741	0.654001	5.45088	0.0158804	-0.372073	radar	0.192861	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15054	0.65207	5.4039	0.00337492	-0.350707	lidar	1.08712	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.4378	0.547416	5.45842	-0.14921	-0.787164	radar	1.46199	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74176	0.433809	5.54711	-0.275048	-1.04062	lidar	2.30727	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02109	0.518781	5.52884	-0.135071	-0.511804	radar	3.97278	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29454	0.512083	5.50368	-0.127298	-0.430121	lidar	0.308818	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55185	0.555297	5.35892	-0.0776301	-0.270389	radar	1.64285	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73189	0.669956	5.13389	0.0312956	-0.0107412	lidar	11.6164	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98326	0.668134	5.03849	0.0222499	-0.0267032	radar	1.06657	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28234	0.659865	5.12175	0.00792243	-0.0515718	lidar	3.00805	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54322	0.664899	5.2516	0.00946973	-0.0437119	radar	1.9414	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84005	0.677727	5.30843	0.013353	-0.0340867	lidar	1.81295	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08064	0.604734	5.15078	-0.040392	-0.117789	radar	3.37217	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33286	0.716422	5.12797	0.0334465	0.00401391	lidar	3.6725	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58284	0.747754	5.08384	0.0478267	0.0247521	radar	0.308635	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82808	0.74522	5.07089	0.040492	0.0127411	lidar	0.173879	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06904	0.729131	4.91468	0.0254922	-0.00926214	radar	1.91848	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28242	0.811269	4.85966	0.0689781	0.0494993	lidar	2.57978	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58192	0.822034	5.15338	0.0664043	0.0428741	radar	5.33117	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83494	0.800729	5.14551	0.0479748	0.0167806	lidar	0.47967	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08273	0.818018	5.00011	0.0511764	0.0190746	radar	2.18009	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31834	0.835149	4.97696	0.0548008	0.0224974	lidar	0.264963	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59253	0.921642	5.22937	0.0923997	0.0677386	radar	6.77102	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
