time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0.001	0.001	0	0	0	lidar	4.94066e-324	0	0	0	0	0	0
1477010443349642	0.346452	-0.346218	0	0	0	radar	2.06614	0	0	0	0	0	0
1477010444349642	1.54777	-0.138513	1.70031	4.16334e-17	2.77556e-17	lidar	0.629381	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.62792	0.0183047	2.24009	-0.038171	-0.0209827	radar	2.7637	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.88471	-0.129411	3.33961	-0.178228	-0.132827	lidar	0.497636	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.95447	0.0725456	3.72527	0.0730324	0.0576708	radar	4.05585	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.86074	0.415805	4.46753	0.195026	0.0446224	lidar	0.131424	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.7712	0.441334	2.87498	0.235219	0.104674	radar	2.21278	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.07179	0.596619	3.461	-0.170452	-0.281445	lidar	0.225377	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.03334	0.662264	2.90581	-0.174161	-0.299069	radar	1.30779	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5717	1.65247	2.79144	0.532878	0.298004	lidar	1.2562	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.546	1.61646	2.78402	0.50648	0.279672	radar	0.508993	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.5895	2.32157	2.28775	0.338955	-0.0114612	lidar	0.373879	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6208	2.29656	2.60599	0.323402	-0.0432292	radar	0.87129	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6331	2.90552	4.14517	0.0239074	-0.206234	lidar	0.545082	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5354	2.87795	3.15395	-0.044809	-0.309438	radar	2.23453	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
