time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.29445e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.6076	0.440461	2.12669	-0.178248	-0.144805	radar	225.245	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.749683	0.46667	2.27885	-0.14978	-0.116961	lidar	8.74721	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.00319	0.432647	4.35344	-0.112148	-0.0605038	radar	25.435	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.27352	0.446949	4.56978	-0.0878767	-0.0409014	lidar	8.94573	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.5656	0.458342	5.24477	-0.0499889	0.00150347	radar	3.21558	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.87898	0.47587	5.40196	-0.0320684	0.0141228	lidar	6.54546	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.12902	0.524959	5.19448	0.0222612	0.075685	radar	2.67828	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.42901	0.552019	5.30301	0.0359476	0.0828627	lidar	3.3669	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.69887	0.576516	5.28312	0.0497539	0.0937187	radar	0.714828	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.97045	0.597448	5.30245	0.0583965	0.098065	lidar	0.174979	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.25026	0.560672	5.26977	0.0263082	0.0477182	radar	3.08312	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.57443	0.525813	5.42296	-0.00406006	-0.000897301	lidar	7.83124	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.86022	0.558529	5.48058	0.0152264	0.0263173	radar	2.15966	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.16295	0.565141	5.5491	0.0155349	0.0237334	lidar	1.15089	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.42436	0.592015	5.2692	0.0290446	0.0417854	radar	1.29273	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.6286	0.665389	5.13146	0.0723807	0.107453	lidar	7.24805	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.88405	0.672154	4.93938	0.0700477	0.0949357	radar	1.58321	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.19642	0.677237	5.08841	0.0632898	0.0755383	lidar	5.62842	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.45939	0.688743	5.33064	0.0642628	0.0715181	radar	1.03535	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.77561	0.703702	5.44425	0.0633313	0.0637166	lidar	3.25364	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.01739	0.655741	5.04344	0.030147	0.0056774	radar	3.97029	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.27821	0.738726	5.07032	0.0727184	0.0718682	lidar	2.87588	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.53073	0.769205	5.03559	0.082862	0.0820059	radar	0.212865	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.78234	0.768922	5.0352	0.0746968	0.0631915	lidar	0.186503	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.02665	0.759321	4.77735	0.0616436	0.0382865	radar	1.75845	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.24025	0.829506	4.73082	0.0960582	0.0870635	lidar	1.62069	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.54185	0.845143	5.30064	0.0927356	0.0754579	radar	5.12767	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.80741	0.823885	5.29678	0.0704132	0.0370512	lidar	0.703014	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.05732	0.842158	4.92588	0.0722216	0.0365043	radar	2.28319	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.29339	0.854645	4.90492	0.0714792	0.0328259	lidar	0.122618	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.56639	0.943169	5.39684	0.111511	0.0884049	radar	5.36797	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
